Label,Code
Blaenau Gwent,W06000019
Bridgend,W06000013
Caerphilly,W06000018
Cardiff,W06000015
Carmarthenshire,W06000010
Ceredigion,W06000008
Conwy,W06000003
Denbighshire,W06000004
Flintshire,W06000005
Gwynedd,W06000002
Isle of Anglesey,W06000001
Merthyr Tydfil,W06000024
Monmouthshire,W06000021
Neath Port Talbot,W06000012
Newport,W06000022
Pembrokeshire,W06000009
Powys,W06000023
Rhondda Cynon Taf,W06000016
Swansea,W06000011
Torfaen,W06000020
Vale of Glamorgan,W06000014
Wales,W92000004
Wrexham,W06000006
Mid and South West Wales,W-MSW
North Wales,W-NW
South East Wales,W-SEW
